"","namePlayerBREF","urlPlayerBioBREF"
"1","Adonal Foyle","https://www.basketball-reference.com/players/f/foylead01.html"
"2","Alvin Williams","https://www.basketball-reference.com/players/w/willial02.html"
"3","Anthony Johnson","https://www.basketball-reference.com/players/j/johnsan02.html"
"4","Anthony Parker","https://www.basketball-reference.com/players/p/parkean01.html"
"5","Antonio Daniels","https://www.basketball-reference.com/players/d/daniean01.html"
"6","Austin Croshere","https://www.basketball-reference.com/players/c/croshau01.html"
"7","Bobby Jackson","https://www.basketball-reference.com/players/j/jacksbo01.html"
"8","Brevin Knight","https://www.basketball-reference.com/players/k/knighbr01.html"
"9","Cedric Henderson","https://www.basketball-reference.com/players/h/hendece02.html"
"10","Cedric Henderson","https://www.basketball-reference.com/players/h/hendece01.html"
"11","Chauncey Billups","https://www.basketball-reference.com/players/b/billuch01.html"
"12","Chris Crawford","https://www.basketball-reference.com/players/c/crawfch01.html"
"13","Chris Crawford","https://www.basketball-reference.com/players/c/crawfch02.html"
"14","Danny Fortson","https://www.basketball-reference.com/players/f/fortsda01.html"
"15","Derek Anderson","https://www.basketball-reference.com/players/a/anderde01.html"
"16","Eric Washington","https://www.basketball-reference.com/players/w/washier01.html"
"17","Jacque Vaughn","https://www.basketball-reference.com/players/v/vaughja01.html"
"18","John Thomas","https://www.basketball-reference.com/players/t/thomajo02.html"
"19","Keith Van Horn","https://www.basketball-reference.com/players/v/vanhoke01.html"
"20","Kelvin Cato","https://www.basketball-reference.com/players/c/catoke01.html"
"21","Marc Jackson","https://www.basketball-reference.com/players/j/jacksma02.html"
"22","Mark Blount","https://www.basketball-reference.com/players/b/blounma01.html"
"23","Maurice Taylor","https://www.basketball-reference.com/players/t/tayloma01.html"
"24","Predrag Drobnjak","https://www.basketball-reference.com/players/d/drobnpr01.html"
"25","Ron Mercer","https://www.basketball-reference.com/players/m/mercero01.html"
"26","Scot Pollard","https://www.basketball-reference.com/players/p/pollasc01.html"
"27","Stephen Jackson","https://www.basketball-reference.com/players/j/jacksst02.html"
"28","Tariq Abdul-Wahad","https://www.basketball-reference.com/players/a/abdulta01.html"
"29","Tim Duncan","https://www.basketball-reference.com/players/d/duncati01.html"
"30","Tim Thomas","https://www.basketball-reference.com/players/t/thomati01.html"
"31","Tony Battie","https://www.basketball-reference.com/players/b/battito01.html"
"32","Tracy McGrady","https://www.basketball-reference.com/players/m/mcgratr01.html"
