"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","1","Steven Adams","C","26","OKC","58","58","1564","262","443",".591","1","3",".333","261","440",".593",".593","108","183",".590","196","347","543","141","50","65","86","111","633"
"2","2","Bam Adebayo","PF","22","MIA","65","65","2235","408","719",".567","1","13",".077","407","706",".576",".568","236","342",".690","165","518","683","333","78","85","185","164","1053"
"3","3","LaMarcus Aldridge","C","34","SAS","53","53","1754","391","793",".493","61","157",".389","330","636",".519",".532","158","191",".827","103","289","392","129","36","87","74","128","1001"
"4","4","Nickeil Alexander-Walker","SG","21","NOP","41","0","501","77","227",".339","40","117",".342","37","110",".336",".427","17","28",".607","8","72","80","74","11","7","40","46","211"
"5","5","Grayson Allen","SG","24","MEM","30","0","498","79","176",".449","33","91",".363","46","85",".541",".543","30","35",".857","5","61","66","43","6","1","23","36","221"
"6","6","Jarrett Allen","C","21","BRK","64","58","1647","267","413",".646","0","5",".000","267","408",".654",".646","147","237",".620","195","410","605","85","37","85","72","144","681"
"7","7","Kadeem Allen","SG","27","NYK","10","0","117","19","44",".432","5","16",".313","14","28",".500",".489","7","11",".636","2","7","9","21","5","2","8","7","50"
"8","8","Al-Farouq Aminu","PF","29","ORL","18","2","380","25","86",".291","9","36",".250","16","50",".320",".343","19","29",".655","24","63","87","21","18","8","17","27","78"
"9","9","Justin Anderson","SF","26","BRK","3","0","17","1","6",".167","0","3",".000","1","3",".333",".167","1","2",".500","0","2","2","0","0","1","0","2","3"
"10","10","Kyle Anderson","PF","26","MEM","59","20","1140","138","280",".493","16","62",".258","122","218",".560",".521","43","66",".652","54","203","257","132","46","31","55","85","335"
"11","11","Ryan Anderson","PF","31","HOU","2","0","14","2","7",".286","1","5",".200","1","2",".500",".357","0","0","","0","7","7","2","1","0","1","1","5"
"12","12","Giannis Antetokounmpo","PF","25","MIL","57","57","1763","623","1139",".547","83","271",".306","540","868",".622",".583","361","570",".633","130","653","783","329","59","58","209","173","1690"
"13","13","Kostas Antetokounmpo","PF","22","LAL","3","0","5","0","0","","0","0","","0","0","","","0","0","","0","1","1","1","0","0","0","0","0"
"14","14","Thanasis Antetokounmpo","SF","27","MIL","18","2","93","19","36",".528","0","7",".000","19","29",".655",".528","7","15",".467","11","8","19","9","6","2","11","13","45"
"15","15","Carmelo Anthony","PF","35","POR","50","50","1623","289","679",".426","72","194",".371","217","485",".447",".479","113","134",".843","61","252","313","79","40","23","87","142","763"
"16","16","OG Anunoby","SF","22","TOR","63","62","1897","267","527",".507","82","215",".381","185","312",".593",".584","59","86",".686","74","267","341","99","88","42","75","155","675"
"17","17","Ryan Arcidiacono","PG","25","CHI","58","4","930","90","220",".409","54","138",".391","36","82",".439",".532","27","38",".711","20","90","110","96","27","3","37","96","261"
"18","18","Trevor Ariza","SF","34","TOT","53","21","1493","142","324",".438","77","207",".372","65","117",".556",".557","62","74",".838","34","212","246","91","69","15","56","111","423"
"19","18","Trevor Ariza","SF","34","SAC","32","0","791","64","165",".388","43","122",".352","21","43",".488",".518","21","27",".778","21","125","146","50","35","7","28","63","192"
"20","18","Trevor Ariza","SF","34","POR","21","21","702","78","159",".491","34","85",".400","44","74",".595",".597","41","47",".872","13","87","100","41","34","8","28","48","231"
"21","19","D.J. Augustin","PG","32","ORL","49","6","1215","156","397",".393","60","174",".345","96","223",".430",".469","139","157",".885","18","91","109","223","30","1","69","53","511"
"22","20","Deandre Ayton","C","21","PHO","30","25","996","255","465",".548","0","3",".000","255","462",".552",".548","60","78",".769","123","237","360","57","22","51","71","97","570"
"23","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"24","21","Dwayne Bacon","SG","24","CHO","39","11","687","85","244",".348","19","67",".284","66","177",".373",".387","35","53",".660","15","85","100","52","23","2","37","52","224"
"25","22","Marvin Bagley III","PF","20","SAC","13","6","334","78","167",".467","4","22",".182","74","145",".510",".479","25","31",".806","29","68","97","10","6","12","18","43","185"
"26","23","Lonzo Ball","PG","22","NOP","56","47","1817","259","628",".412","139","363",".383","120","265",".453",".523","38","67",".567","63","285","348","392","80","30","172","110","695"
"27","24","Mo Bamba","C","21","ORL","60","0","868","132","282",".468","37","104",".356","95","178",".534",".534","31","46",".674","98","201","299","42","22","85","42","115","332"
"28","25","J.J. Barea","PG","35","DAL","26","4","391","74","179",".413","29","76",".382","45","103",".437",".494","17","18",".944","10","38","48","99","4","2","35","25","194"
"29","26","Harrison Barnes","PF","27","SAC","64","64","2231","326","711",".459","93","243",".383","233","468",".498",".524","196","244",".803","61","245","306","152","38","10","80","82","941"
"30","27","RJ Barrett","SG","19","NYK","56","55","1704","292","727",".402","63","197",".320","229","530",".432",".445","156","254",".614","50","229","279","143","55","17","124","122","803"
"31","28","Will Barton","SF","29","DEN","58","58","1916","332","738",".450","108","288",".375","224","450",".498",".523","102","133",".767","76","289","365","212","61","29","88","121","874"
"32","29","Keita Bates-Diop","SF","24","TOT","39","0","665","89","208",".428","31","94",".330","58","114",".509",".502","49","69",".710","21","91","112","30","17","21","14","38","258"
"33","29","Keita Bates-Diop","SF","24","MIN","37","0","646","87","206",".422","31","94",".330","56","112",".500",".498","46","65",".708","21","89","110","30","17","20","14","36","251"
"34","29","Keita Bates-Diop","SF","24","DEN","2","0","19","2","2","1.000","0","0","","2","2","1.000","1.000","3","4",".750","0","2","2","0","0","1","0","2","7"
"35","30","Nicolas Batum","SF","31","CHO","22","3","505","28","81",".346","14","49",".286","14","32",".438",".432","9","10",".900","25","75","100","66","17","8","22","41","79"
"36","31","Aron Baynes","C","33","PHO","42","28","934","183","381",".480","59","168",".351","124","213",".582",".558","56","75",".747","71","166","237","67","10","23","50","141","481"
"37","32","Kent Bazemore","SF-SG","30","TOT","64","21","1604","185","495",".374","78","228",".342","107","267",".401",".453","109","142",".768","24","253","277","85","70","39","85","182","557"
"38","32","Kent Bazemore","SF","30","POR","43","21","1111","113","326",".347","56","171",".327","57","155",".368",".433","58","72",".806","13","159","172","61","45","31","60","121","340"
"39","32","Kent Bazemore","SG","30","SAC","21","0","493","72","169",".426","22","57",".386","50","112",".446",".491","51","70",".729","11","94","105","24","25","8","25","61","217"
"40","33","Darius Bazley","PF","19","OKC","53","8","909","88","230",".383","30","100",".300","58","130",".446",".448","32","47",".681","21","175","196","29","20","35","40","45","238"
"41","34","Bradley Beal","SG","26","WAS","57","57","2053","593","1303",".455","170","481",".353","423","822",".515",".520","385","457",".842","52","190","242","347","71","23","194","126","1741"
"42","35","Malik Beasley","SG","23","TOT","55","14","1209","227","534",".425","107","276",".388","120","258",".465",".525","54","66",".818","18","130","148","75","40","8","57","77","615"
"43","35","Malik Beasley","SG","23","DEN","41","0","746","117","301",".389","58","161",".360","59","140",".421",".485","33","38",".868","9","68","77","48","31","6","36","50","325"
"44","35","Malik Beasley","SG","23","MIN","14","14","463","110","233",".472","49","115",".426","61","118",".517",".577","21","28",".750","9","62","71","27","9","2","21","27","290"
"45","36","Marco Belinelli","SG","33","SAS","52","0","779","106","271",".391","57","155",".368","49","116",".422",".496","32","41",".780","4","86","90","64","10","1","16","41","301"
"46","37","Jordan Bell","C-PF","25","TOT","29","0","256","35","67",".522","4","12",".333","31","55",".564",".552","19","31",".613","30","51","81","16","3","10","21","19","93"
"47","37","Jordan Bell","C","25","MIN","27","0","235","32","60",".533","2","9",".222","30","51",".588",".550","17","29",".586","28","50","78","14","2","10","18","17","83"
"48","37","Jordan Bell","PF","25","MEM","2","0","21","3","7",".429","2","3",".667","1","4",".250",".571","2","2","1.000","2","1","3","2","1","0","3","2","10"
"49","38","DeAndre' Bembry","SG","25","ATL","43","4","915","104","228",".456","15","65",".231","89","163",".546",".489","26","48",".542","34","118","152","81","55","19","60","84","249"
"50","39","Dragan Bender","SF","22","TOT","16","3","286","41","92",".446","15","43",".349","26","49",".531",".527","10","14",".714","16","57","73","28","4","9","21","42","107"
"51","39","Dragan Bender","SF","22","MIL","7","0","91","10","21",".476","4","9",".444","6","12",".500",".571","2","3",".667","0","20","20","9","0","5","5","16","26"
"52","39","Dragan Bender","SF","22","GSW","9","3","195","31","71",".437","11","34",".324","20","37",".541",".514","8","11",".727","16","37","53","19","4","4","16","26","81"
"53","40","Davis Bertans","PF","27","WAS","54","4","1583","265","610",".434","200","472",".424","65","138",".471",".598","104","122",".852","35","210","245","92","37","33","59","139","834"
"54","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"55","41","Patrick Beverley","PG","31","LAC","48","48","1299","139","325",".428","75","198",".379","64","127",".504",".543","27","41",".659","56","203","259","179","53","25","64","150","380"
"56","42","Khem Birch","C","27","ORL","40","24","777","56","115",".487","0","1",".000","56","114",".491",".487","41","67",".612","70","110","180","35","16","21","23","73","153"
"57","43","Goga Bitadze","C","20","IND","49","2","410","61","129",".473","6","36",".167","55","93",".591",".496","24","33",".727","22","74","96","21","6","32","25","57","152"
"58","44","Bismack Biyombo","C","27","CHO","53","29","1029","151","278",".543","0","0","","151","278",".543",".543","91","151",".603","120","188","308","50","10","49","48","116","393"
"59","45","Nemanja Bjelica","PF","31","SAC","64","61","1821","287","604",".475","125","295",".424","162","309",".524",".579","60","73",".822","107","305","412","179","54","33","92","193","759"
"60","46","Eric Bledsoe","PG","30","MIL","56","56","1524","319","662",".482","70","201",".348","249","461",".540",".535","157","193",".813","41","218","259","302","53","25","140","120","865"
"61","47","Bogdan Bogdanovic","SG","27","SAC","53","20","1510","277","639",".433","137","380",".361","140","259",".541",".541","76","105",".724","17","154","171","169","54","14","89","115","767"
"62","48","Bojan Bogdanovic","SF","30","UTA","63","63","2083","418","935",".447","189","457",".414","229","478",".479",".548","250","277",".903","39","220","259","131","34","7","159","110","1275"
"63","49","Jonah Bolden","PF","24","TOT","7","0","47","4","11",".364","0","4",".000","4","7",".571",".364","2","4",".500","3","6","9","0","3","2","2","10","10"
"64","49","Jonah Bolden","PF","24","PHI","4","0","14","2","3",".667","0","1",".000","2","2","1.000",".667","0","2",".000","0","1","1","0","1","0","2","4","4"
"65","49","Jonah Bolden","PF","24","PHO","3","0","33","2","8",".250","0","3",".000","2","5",".400",".250","2","2","1.000","3","5","8","0","2","2","0","6","6"
"66","50","Marques Bolden","C","21","CLE","1","0","3","0","0","","0","0","","0","0","","","0","0","","0","2","2","0","1","0","0","1","0"
"67","51","Jordan Bone","PG","22","DET","10","0","53","5","20",".250","2","10",".200","3","10",".300",".300","0","0","","0","4","4","8","1","0","2","6","12"
"68","52","Isaac Bonga","SF","20","WAS","58","41","1025","96","184",".522","22","55",".400","74","129",".574",".582","52","64",".813","61","122","183","61","37","21","41","136","266"
"69","53","Devin Booker","SG","23","PHO","62","62","2241","544","1118",".487","126","350",".360","418","768",".544",".543","405","442",".916","27","231","258","408","45","16","244","188","1619"
"70","54","Chris Boucher","PF","27","TOR","55","0","724","119","260",".458","28","99",".283","91","161",".565",".512","82","103",".796","94","148","242","23","20","53","23","104","348"
"71","55","Brian Bowen","SG","21","IND","5","1","29","2","9",".222","0","2",".000","2","7",".286",".222","0","0","","1","6","7","0","0","1","1","2","4"
"72","56","Ky Bowman","PG","22","GSW","45","12","1015","134","321",".417","33","107",".308","101","214",".472",".469","34","41",".829","24","97","121","131","44","10","70","102","335"
"73","57","Avery Bradley","SG","29","LAL","49","44","1186","170","383",".444","63","173",".364","107","210",".510",".526","20","24",".833","18","97","115","63","43","5","47","110","423"
"74","58","Tony Bradley","C","22","UTA","50","2","535","103","155",".665","1","1","1.000","102","154",".662",".668","26","40",".650","90","126","216","17","12","25","23","98","233"
"75","59","Jarrell Brantley","PF","23","UTA","5","0","13","0","0","","0","0","","0","0","","","0","0","","0","5","5","1","0","2","2","2","0"
"76","60","Ignas Brazdeikis","SF","21","NYK","9","0","53","6","22",".273","1","9",".111","5","13",".385",".295","4","5",".800","2","3","5","4","0","1","2","3","17"
"77","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"78","61","Mikal Bridges","SF","23","PHO","65","24","1772","210","407",".516","56","159",".352","154","248",".621",".585","89","105",".848","59","200","259","115","93","39","65","142","565"
"79","62","Miles Bridges","SF","21","CHO","65","64","1995","319","753",".424","99","300",".330","220","453",".486",".489","106","131",".809","88","274","362","114","40","48","95","132","843"
"80","63","Oshae Brissett","SF","21","TOR","19","0","135","13","36",".361","3","15",".200","10","21",".476",".403","8","10",".800","9","17","26","7","4","1","7","18","37"
"81","64","Ryan Broekhoff","SG","29","DAL","17","1","180","22","59",".373","20","51",".392","2","8",".250",".542","7","8",".875","5","38","43","11","5","4","6","15","71"
"82","65","Malcolm Brogdon","PG","27","IND","48","48","1472","289","659",".439","61","195",".313","228","464",".491",".485","145","162",".895","40","186","226","343","33","8","115","88","784"
"83","66","Dillon Brooks","SG","24","MEM","65","65","1851","372","925",".402","132","358",".369","240","567",".423",".474","144","178",".809","61","152","213","128","57","25","108","246","1020"
"84","67","Bruce Brown","SG","23","DET","58","43","1634","198","447",".443","33","96",".344","165","351",".470",".480","88","119",".739","61","213","274","230","63","29","100","162","517"
"85","68","Charlie Brown","SG","22","ATL","10","0","40","6","19",".316","3","9",".333","3","10",".300",".395","5","5","1.000","2","2","4","2","2","2","3","3","20"
"86","69","Jaylen Brown","SF","23","BOS","50","50","1702","378","772",".490","107","281",".381","271","491",".552",".559","159","216",".736","54","264","318","109","56","16","116","151","1022"
"87","70","Moses Brown","C","20","POR","9","0","33","4","10",".400","0","0","","4","10",".400",".400","3","8",".375","3","11","14","1","1","1","3","7","11"
"88","71","Sterling Brown","SF","24","MIL","45","1","665","80","218",".367","36","114",".316","44","104",".423",".450","27","35",".771","28","137","165","46","22","7","36","45","223"
"89","72","Troy Brown Jr.","SG","20","WAS","61","14","1519","229","506",".453","50","145",".345","179","361",".496",".502","86","114",".754","64","261","325","142","76","6","65","110","594"
"90","73","Jalen Brunson","PG","23","DAL","57","16","1022","181","388",".466","43","120",".358","138","268",".515",".522","61","75",".813","22","112","134","188","22","4","66","74","466"
"91","74","Thomas Bryant","C","22","WAS","38","28","901","184","307",".599","22","54",".407","162","253",".640",".635","70","95",".737","75","185","260","71","14","33","48","85","460"
"92","75","Reggie Bullock","SG","28","NYK","29","19","684","90","224",".402","37","111",".333","53","113",".469",".484","17","21",".810","13","55","68","42","25","3","19","56","234"
"93","76","Trey Burke","PG","27","PHI","25","0","329","59","127",".465","16","38",".421","43","89",".483",".528","13","18",".722","15","20","35","53","7","1","12","21","147"
"94","77","Alec Burks","SG","28","TOT","59","18","1612","283","701",".404","100","273",".366","183","428",".428",".475","225","251",".896","43","219","262","171","58","17","85","120","891"
"95","77","Alec Burks","SG","28","GSW","48","18","1390","244","601",".406","84","224",".375","160","377",".424",".476","201","224",".897","37","189","226","151","50","17","76","107","773"
"96","77","Alec Burks","SG","28","PHI","11","0","222","39","100",".390","16","49",".327","23","51",".451",".470","24","27",".889","6","30","36","20","8","0","9","13","118"
"97","78","Deonte Burton","SG","26","OKC","34","0","284","39","105",".371","10","46",".217","29","59",".492",".419","6","12",".500","6","42","48","11","5","10","14","28","94"
"98","79","Jimmy Butler","SF","30","MIA","54","54","1851","328","722",".454","29","117",".248","299","605",".494",".474","408","490",".833","98","261","359","331","92","29","118","74","1093"
"99","80","Bruno Caboclo","SF","24","TOT","27","0","220","32","77",".416","4","28",".143","28","49",".571",".442","4","5",".800","22","31","53","12","12","16","9","25","72"
"100","80","Bruno Caboclo","SF","24","MEM","22","0","192","28","69",".406","4","25",".160","24","44",".545",".435","2","3",".667","17","27","44","10","10","12","7","23","62"
"101","80","Bruno Caboclo","SF","24","HOU","5","0","28","4","8",".500","0","3",".000","4","5",".800",".500","2","2","1.000","5","4","9","2","2","4","2","2","10"
"102","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"103","81","Kentavious Caldwell-Pope","SG","26","LAL","63","20","1603","220","466",".472","87","221",".394","133","245",".543",".565","74","95",".779","37","95","132","105","53","13","55","117","601"
"104","82","Vlatko Cancar","SF","22","DEN","14","0","45","6","15",".400","1","6",".167","5","9",".556",".433","4","4","1.000","5","5","10","3","1","1","3","7","17"
"105","83","Clint Capela","C","25","HOU","39","39","1279","244","388",".629","0","0","","244","388",".629",".629","55","104",".529","168","369","537","48","33","72","63","102","543"
