"","namePlayerBREF","urlPlayerBioBREF"
"1","Allen Iverson","https://www.basketball-reference.com/players/i/iversal01.html"
"2","Antoine Walker","https://www.basketball-reference.com/players/w/walkean02.html"
"3","Derek Fisher","https://www.basketball-reference.com/players/f/fishede01.html"
"4","Erick Dampier","https://www.basketball-reference.com/players/d/dampier01.html"
"5","Jamie Feick","https://www.basketball-reference.com/players/f/feickja01.html"
"6","Jeff McInnis","https://www.basketball-reference.com/players/m/mcinnje01.html"
"7","Jermaine O'Neal","https://www.basketball-reference.com/players/o/onealje01.html"
"8","Jerome Williams","https://www.basketball-reference.com/players/w/willije01.html"
"9","John Wallace","https://www.basketball-reference.com/players/w/wallajo01.html"
"10","Kerry Kittles","https://www.basketball-reference.com/players/k/kittlke01.html"
"11","Kobe Bryant","https://www.basketball-reference.com/players/b/bryanko01.html"
"12","Lorenzen Wright","https://www.basketball-reference.com/players/w/wrighlo02.html"
"13","Malik Rose","https://www.basketball-reference.com/players/r/rosema01.html"
"14","Marcus Camby","https://www.basketball-reference.com/players/c/cambyma01.html"
"15","Moochie Norris","https://www.basketball-reference.com/players/n/norrimo01.html"
"16","Othella Harrington","https://www.basketball-reference.com/players/h/harriot01.html"
"17","Randy Livingston","https://www.basketball-reference.com/players/l/livinra01.html"
"18","Ray Allen","https://www.basketball-reference.com/players/a/allenra02.html"
"19","Samaki Walker","https://www.basketball-reference.com/players/w/walkesa01.html"
"20","Shandon Anderson","https://www.basketball-reference.com/players/a/andersh01.html"
"21","Shareef Abdur-Rahim","https://www.basketball-reference.com/players/a/abdursh01.html"
"22","Stephon Marbury","https://www.basketball-reference.com/players/m/marbust01.html"
"23","Steve Nash","https://www.basketball-reference.com/players/n/nashst01.html"
"24","Todd Fuller","https://www.basketball-reference.com/players/f/fulleto02.html"
"25","Tony Delk","https://www.basketball-reference.com/players/d/delkto01.html"
"26","Travis Knight","https://www.basketball-reference.com/players/k/knightr01.html"
"27","Vitaly Potapenko","https://www.basketball-reference.com/players/p/potapvi01.html"
"28","Walter McCarty","https://www.basketball-reference.com/players/m/mccarwa01.html"
"29","Zydrunas Ilgauskas","https://www.basketball-reference.com/players/i/ilgauzy01.html"
