,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,2,Paul Pierce,1998,19,10,10.69367844,Kansas,Top 3,JR,F,Kansas,38,1155,253,98,42,43,110,89,777,0.513,0.56,0.339,0.738,20.4,6.7,2.6,1.1,1.1,1998
2,3,Vince Carter,1998,22,8,9.019464994,UNC,Top 3,JR,F,North Carolina,38,0,195,74,45,36,0,0,592,0.591,0.662,0.411,0.68,15.6,5.1,1.9,1.2,0.9,1998
3,4,Antawn Jamison,1998,16,2,6.583141107,UNC,Top 5,JR,F,North Carolina,37,0,389,30,28,30,0,0,822,0.579,0.584,0.4,0.667,22.2,10.5,0.8,0.8,0.8,1998
4,6,Mike Bibby,1998,14,0,5.075848497,Arizona,Top 10,SO,G,Arizona,35,1119,106,199,84,7,78,57,603,0.464,0.526,0.387,0.755,17.2,3,5.7,2.4,0.2,1998
5,7,Cuttino Mobley,1998,11,0,3.759636996,Rhode Island,Top 10,SR,G,Rhode Island,34,0,147,88,56,18,0,0,586,0.48,0.525,0.416,0.856,17.2,4.3,2.6,1.6,0.5,1998
6,9,Ricky Davis,1998,12,0,2.916614697,Iowa,Top 10,FR,F,Iowa,31,0,148,74,38,10,0,0,464,0.466,0.518,0.308,0.698,15,4.8,2.4,1.2,0.3,1998
8,11,Matt Harpring,1998,11,0,1.625779653,Georgia Tech,Lottery,SR,F,Georgia Tech,32,0,302,82,44,7,0,0,691,0.456,0.53,0.31,0.81,21.6,9.4,2.6,1.4,0.2,1998
9,12,Bonzi Wells,1998,10,0,1.446704543,Ball State University,Lottery,SR,F,Ball State,29,0,184,95,103,20,0,0,662,0.49,0.538,0.373,0.689,22.8,6.3,3.3,3.6,0.7,1998
10,13,Raef LaFrentz,1998,10,0,1.399342512,Kansas,Lottery,SR,F,Kansas,30,906,342,30,27,45,76,71,593,0.548,0.552,0.471,0.738,19.8,11.4,1,0.9,1.5,1998
11,14,Jason Williams,1998,12,0,1.209419053,Florida,Lottery,JR,G,Florida,20,0,59,134,53,4,0,0,341,0.441,0.483,0.403,0.84,17.1,3,6.7,2.7,0.2,1998
12,15,Rafer Alston,1998,11,0,1.06535157,Fresno State,Non-Lottery,JR,G,Fresno State,33,0,71,240,70,12,0,0,364,0.401,0.513,0.337,0.758,11,2.2,7.3,2.1,0.4,1998
14,17,Michael Dickerson,1998,5,0,0.074763318,Arizona,Non-Lottery,SR,F,Arizona,35,988,156,62,38,8,76,79,630,0.51,0.554,0.404,0.758,18,4.5,1.8,1.1,0.2,1998
15,19,Nazr Mohammed,1998,18,0,-1.404228257,Kentucky,Non-Lottery,JR,C,Kentucky,39,0,282,28,36,75,0,0,468,0.597,0.597,0,0.652,12,7.2,0.7,0.9,1.9,1998
16,20,Tyronn Lue,1998,11,0,-1.473313907,Nebraska,Non-Lottery,JR,G,Nebraska,32,0,137,152,63,3,0,0,678,0.439,0.479,0.373,0.828,21.2,4.3,4.8,2,0.1,1998
17,21,Keon Clark,1998,6,0,-1.496687853,UNLV,Non-Lottery,SR,C,Nevada-Las Vegas,10,0,30,19,2,26,0,0,148,0.548,0.552,0.5,0.667,14.8,3,1.9,0.2,2.6,1998
18,22,Pat Garrity,1998,10,0,-2.700036813,Notre Dame,Non-Lottery,SR,F,Notre Dame,27,0,225,66,17,16,0,0,627,0.481,0.516,0.37,0.75,23.2,8.3,2.4,0.6,0.6,1998
19,23,Brian Skinner,1998,14,0,-3.300987379,Baylor,Non-Lottery,SR,C,Baylor,28,0,265,15,38,98,0,0,507,0.553,0.553,0,0.591,18.1,9.5,0.5,1.4,3.5,1998
20,24,Greg Buckner,1998,10,0,-3.350509022,Clemson,Non-Lottery,SR,G,Clemson,32,0,130,83,51,10,0,0,521,0.537,0.575,0.328,0.696,16.3,4.1,2.6,1.6,0.3,1998
21,25,Jahidi White,1998,7,0,-3.543208169,Georgetown,Non-Lottery,SR,C,Georgetown,12,0,109,2,12,26,0,0,126,0.634,0.634,0,0.44,10.5,9.1,0.2,1,2.2,1998
22,26,Shammond Williams,1998,7,0,-3.931489296,UNC,Non-Lottery,SR,G,North Carolina,38,0,123,161,39,2,0,0,637,0.488,0.577,0.4,0.911,16.8,3.2,4.2,1,0.1,1998
23,27,Robert Traylor,1998,7,0,-4.512168303,Michigan,Non-Lottery,JR,C,Michigan,34,0,344,88,44,46,0,0,552,0.579,0.58,0,0.642,16.2,10.1,2.6,1.3,1.4,1998
24,28,Michael Doleac,1998,10,0,-4.517199709,Utah,Non-Lottery,SR,C,Utah,32,0,228,17,13,33,0,0,516,0.488,0.497,0.406,0.805,16.1,7.1,0.5,0.4,1,1998
25,29,Ryan Bowen,1998,10,0,-5.458372637,Iowa,Non-Lottery,SR,F,Iowa,31,0,271,48,79,41,0,0,447,0.603,0.607,0.533,0.689,14.4,8.7,1.5,2.5,1.3,1998
26,30,Jerome James,1998,9,0,-5.763902491,Florida A&M,Non-Lottery,SR,C,Florida A&M,27,0,282,30,17,125,0,0,536,0.5,0.5,0,0.553,19.9,10.4,1.1,0.6,4.6,1998
