"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",1,"Chris Paul",2005,15,10,10.86890956,"Wake Forest","Top 3","SO","G","Wake Forest",32,1069,144,212,76,1,89,82,488,0.451,0.441,0.474,0.834,15.3,4.5,6.6,2.4,0,2005
"2",2,"Deron Williams",2005,12,3,6.846111564,"Illinois","Top 3","JR","G","Illinois",39,1315,142,264,38,8,109,80,489,0.433,0.491,0.364,0.677,12.5,3.6,6.8,1,0.2,2005
"3",3,"David Lee",2005,12,2,5.874795209,"Florida","Top 3","SR","F","Florida",32,897,288,70,34,24,85,76,435,0.525,0.532,0,0.714,13.6,9,2.2,1.1,0.8,2005
"4",5,"Danny Granger",2005,10,1,4.744089349,"New Mexico","Top 5","SR","F","New Mexico",30,900,266,71,63,60,72,72,565,0.524,0.563,0.433,0.755,18.8,8.9,2.4,2.1,2,2005
"5",7,"Andrew Bogut",2005,14,0,3.076889581,"Utah","Top 10","SO","F","Utah",35,1224,427,82,34,65,96,78,715,0.62,0.636,0.36,0.692,20.4,12.2,2.3,1,1.9,2005
"6",8,"Raymond Felton",2005,14,0,3.04310273,"UNC","Top 10","JR","G","North Carolina",36,1142,155,249,72,11,129,71,464,0.455,0.468,0.44,0.701,12.9,4.3,6.9,2,0.3,2005
"7",10,"Marvin Williams",2005,15,0,1.768716771,"UNC","Top 10","FR","F","North Carolina",36,800,236,26,39,17,56,92,407,0.506,0.522,0.432,0.847,11.3,6.6,0.7,1.1,0.5,2005
"8",12,"Jarrett Jack",2005,13,0,1.149076954,"Georgia Tech","Lottery","JR","G","Georgia Tech",32,1091,155,145,58,3,110,54,497,0.514,0.549,0.442,0.866,15.5,4.8,4.5,1.8,0.1,2005
"9",16,"Charlie Villanueva",2005,11,0,0.079004514,"UConn","Non-Lottery","SO","F","Connecticut",31,798,257,40,20,57,70,68,421,0.521,0.522,0.5,0.688,13.6,8.3,1.3,0.6,1.8,2005
"10",17,"Nate Robinson",2005,11,0,-0.046174518,"Washington","Non-Lottery","JR","G","Washington",35,1101,135,149,61,6,71,99,574,0.463,0.514,0.385,0.782,16.4,3.9,4.3,1.7,0.2,2005
"11",18,"Brandon Bass",2005,12,0,-0.149592782,"LSU","Non-Lottery","SO","F","Louisiana State",30,1007,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,17.3,9.1,0.8,0.8,1.6,2005
"12",19,"Channing Frye",2005,13,0,-0.165065363,"Arizona","Non-Lottery","SR","C","Arizona",37,1148,282,72,35,85,64,95,584,0.554,0.57,0.176,0.83,15.8,7.6,1.9,0.9,2.3,2005
"13",20,"Ryan Gomes",2005,8,0,-0.587673667,"Providence","Non-Lottery","SR","F","Providence",31,1161,255,100,47,5,76,50,670,0.496,0.54,0.38,0.77,21.6,8.2,3.2,1.5,0.2,2005
"14",22,"Hakim Warrick",2005,8,0,-1.19344374,"Syracuse","Non-Lottery","SR","F","Syracuse",34,1275,294,50,33,27,86,79,726,0.548,0.566,0.29,0.681,21.4,8.6,1.5,1,0.8,2005
"15",23,"Francisco Garcia",2005,10,0,-1.683828017,"Louisville","Non-Lottery","JR","F","Louisville",38,1211,158,148,65,56,104,110,595,0.437,0.496,0.366,0.877,15.7,4.2,3.9,1.7,1.5,2005
"16",26,"Linas Kleiza",2005,7,0,-2.461528867,"Missouri","Non-Lottery","SO","F","Missouri",33,1038,250,53,20,9,89,92,530,0.403,0.453,0.274,0.732,16.1,7.6,1.6,0.6,0.3,2005
"17",27,"Luther Head",2005,6,0,-2.880927521,"Illinois","Non-Lottery","SR","G","Illinois",39,1297,155,150,67,9,69,54,622,0.463,0.547,0.41,0.788,15.9,4,3.8,1.7,0.2,2005
"18",28,"Ronny Turiaf",2005,10,0,-3.049098915,"Gonzaga","Non-Lottery","SR","F","Gonzaga",31,967,295,48,12,59,70,83,493,0.508,0.513,0.286,0.683,15.9,9.5,1.5,0.4,1.9,2005
"19",29,"Jason Maxiell",2005,10,0,-3.412338046,"Cincinnati","Non-Lottery","SR","F","Cincinnati",33,1037,254,28,33,90,64,82,506,0.543,0.545,0.4,0.645,15.3,7.7,0.8,1,2.7,2005
