"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","conf"
"1",1,"Zion Williamson",2019,1,0,7.96223917881618,"Duke","Top 3","acc"
"2",2,"Ja Morant",2019,1,0,4.52938263523701,"Murray State","Top 3","ovc"
"3",3,"Brandon Clarke",2019,1,0,2.51568095536245,"Gonzaga","Top 3","wcc"
"4",4,"Eric Paschall",2019,1,0,1.50728630641839,"Villanova","Top 5","big-east"
"5",5,"Rui Hachimura",2019,1,0,1.50266083329776,"Gonzaga","Top 5","wcc"
"6",6,"RJ Barrett",2019,1,0,1.21537801263954,"Duke","Top 10","acc"
"7",7,"P.J. Washington",2019,1,0,1.13216388870034,"Kentucky","Top 10","sec"
"8",8,"Jaxson Hayes",2019,1,0,-0.116009379478059,"Texas","Top 10","big-12"
"9",9,"De'Andre Hunter",2019,1,0,-0.175382556406445,"Virginia","Top 10","acc"
"10",10,"Coby White",2019,1,0,-0.401814478310166,"UNC","Top 10","acc"
"11",11,"Tyler Herro",2019,1,0,-0.705181250933578,"Kentucky","Lottery","sec"
"12",12,"Darius Garland",2019,1,0,-1.24280257923949,"Vanderbilt","Lottery","sec"
"13",13,"Kevin Porter Jr.",2019,1,0,-1.4227142840533,"USC","Lottery","pac-12"
"14",14,"Cam Reddish",2019,1,0,-1.45764494139438,"Duke","Lottery","acc"
"15",15,"Jarrett Culver",2019,1,0,-2.22758475967688,"Texas Tech","Non-Lottery","big-12"
"16",16,"Cameron Johnson",2019,1,0,-2.99184844452273,"UNC","Non-Lottery","acc"
"17",17,"Jalen McDaniels",2019,1,0,-3.50683825530867,"San Diego State","Non-Lottery","mwc"
"18",18,"Cody Martin",2019,1,0,-3.74284548035405,"Nevada","Non-Lottery","mwc"
"19",19,"Jordan Poole",2019,1,0,-3.97643198350298,"Michigan","Non-Lottery","big-ten"
"20",20,"Matisse Thybulle",2019,1,0,-4.1411877291934,"Washington","Non-Lottery","pac-12"
"21",21,"Bruno Fernando",2019,1,0,-4.26468083461056,"Maryland","Non-Lottery","big-ten"
"22",23,"Grant Williams",2019,1,0,-4.8749028421989,"Tennessee","Non-Lottery","sec"
"23",25,"Nassir Little",2019,1,0,-5.88130204743207,"UNC","Non-Lottery","acc"
"24",27,"Nickeil Alexander-Walker",2019,1,0,-6.4428544226504,"Virginia Tech","Non-Lottery","acc"
"25",28,"Ty Jerome",2019,1,0,-6.98554171769714,"Virginia","Non-Lottery","acc"
"26",29,"Romeo Langford",2019,1,0,-7.6543074307639,"Indiana","Non-Lottery","big-ten"
"27",30,"Carsen Edwards",2019,1,0,-7.9270823756011,"Purdue","Non-Lottery","big-ten"
"28",2,"Trae Young",2018,2,1,8.69562480227965,"Oklahoma","Top 3","big-12"
"29",3,"Deandre Ayton",2018,2,0,7.66712735891441,"Arizona","Top 3","pac-12"
"30",4,"Shai Gilgeous-Alexander",2018,2,0,3.61920755720831,"Kentucky","Top 5","sec"
"31",5,"Jaren Jackson Jr.",2018,2,0,3.4664010193963,"Michigan State","Top 5","big-ten"
"32",6,"Marvin Bagley III",2018,2,0,3.45063097855943,"Duke","Top 10","acc"
"33",7,"Collin Sexton",2018,2,0,3.34546305555903,"Alabama","Top 10","sec"
"34",8,"Wendell Carter Jr.",2018,2,0,2.92966561666593,"Duke","Top 10","acc"
"35",9,"Devonte' Graham",2018,2,0,0.297122127898417,"Kansas","Top 10","big-12"
"36",10,"Mikal Bridges",2018,2,0,0.207174524699797,"Villanova","Top 10","big-east"
"37",11,"Kevin Huerter",2018,2,0,-0.0210271590168859,"Maryland","Lottery","big-ten"
"38",12,"Miles Bridges",2018,2,0,-0.121101937139486,"Michigan State","Lottery","big-ten"
"39",13,"Donte DiVincenzo",2018,2,0,-1.03393684925143,"Villanova","Lottery","big-east"
"40",14,"Jalen Brunson",2018,2,0,-1.408420678626,"Villanova","Lottery","big-east"
"41",15,"Josh Okogie",2018,2,0,-1.42285459936639,"Georgia Tech","Non-Lottery","acc"
"42",16,"Mo Bamba",2018,2,0,-1.79518521406693,"Texas","Non-Lottery","big-12"
"43",17,"Troy Brown Jr.",2018,2,0,-1.95219806608086,"Oregon","Non-Lottery","pac-12"
"44",18,"Bruce Brown",2018,2,0,-2.00527714906207,"Miami (FL)","Non-Lottery","acc"
"45",19,"Landry Shamet",2018,2,0,-2.10328271141025,"Wichita State","Non-Lottery","aac"
"46",20,"De'Anthony Melton",2018,2,0,-2.10796185822128,"USC","Non-Lottery","pac-12"
"47",21,"Kevin Knox",2018,2,0,-2.3182122511734,"Kentucky","Non-Lottery","sec"
"48",22,"Omari Spellman",2018,2,0,-2.53499181938514,"Villanova","Non-Lottery","big-east"
"49",23,"Aaron Holiday",2018,2,0,-2.97739159435909,"UCLA","Non-Lottery","pac-12"
"50",25,"Chandler Hutchison",2018,2,0,-3.2996673265132,"Boise State","Non-Lottery","mwc"
"51",27,"Hamidou Diallo",2018,2,0,-4.97517478780409,"Kentucky","Non-Lottery","sec"
"52",29,"Sviatoslav Mykhailiuk",2018,2,0,-5.38809604286134,"Kansas","Non-Lottery","big-12"
"53",30,"Jevon Carter",2018,2,0,-5.39321758552704,"West Virginia","Non-Lottery","big-12"
"54",1,"Donovan Mitchell",2017,3,1,8.25194666014929,"Louisville","Top 3","acc"
"55",2,"John Collins",2017,3,0,7.28537582505016,"Wake Forest","Top 3","acc"
"56",3,"Jayson Tatum",2017,3,1,6.17465540327415,"Duke","Top 3","acc"
"57",4,"Bam Adebayo",2017,3,1,5.20288338950089,"Kentucky","Top 5","sec"
"58",5,"De'Aaron Fox",2017,3,0,5.19968070025344,"Kentucky","Top 5","sec"
"59",6,"Jarrett Allen",2017,3,0,4.47072980597177,"Texas","Top 10","big-12"
"60",7,"Lauri Markkanen",2017,3,0,4.36207337378642,"Arizona","Top 10","pac-12"
"61",8,"Kyle Kuzma",2017,3,0,3.73525408174512,"Utah","Top 10","pac-12"
"62",9,"Lonzo Ball",2017,3,0,3.16307268861838,"UCLA","Top 10","pac-12"
"63",10,"Thomas Bryant",2017,3,0,1.80472798771711,"Indiana","Top 10","big-ten"
"64",11,"Dennis Smith Jr.",2017,3,0,1.13393174496355,"NC State","Lottery","acc"
"65",12,"Jonathan Isaac",2017,3,0,0.739929331495391,"Florida State","Lottery","acc"
"66",13,"Josh Jackson",2017,3,0,0.648942465530131,"Kansas","Lottery","big-12"
"67",14,"Markelle Fultz",2017,3,0,0.451225953713201,"Washington","Lottery","pac-12"
"68",15,"Derrick White",2017,3,0,0.450952942679734,"Colorado","Non-Lottery","pac-12"
"69",16,"Dillon Brooks",2017,3,0,0.110249654060874,"Oregon","Non-Lottery","pac-12"
"70",17,"Josh Hart",2017,3,0,-0.169830438639176,"Villanova","Non-Lottery","big-east"
"71",18,"Monte Morris",2017,3,0,-0.361815360789505,"Iowa State","Non-Lottery","big-12"
"72",19,"OG Anunoby",2017,3,0,-0.686971262280304,"Indiana","Non-Lottery","big-ten"
"73",20,"Luke Kennard",2017,3,0,-0.916203953687374,"Duke","Non-Lottery","acc"
"74",21,"Damyean Dotson",2017,3,0,-2.90061044624437,"Oregon","Non-Lottery","pac-12"
"75",22,"Zach Collins",2017,3,0,-2.90915999196087,"Gonzaga","Non-Lottery","wcc"
"76",23,"Justin Jackson",2017,3,0,-2.9416221361144,"UNC","Non-Lottery","acc"
"77",24,"Malik Monk",2017,3,0,-2.99535705351895,"Kentucky","Non-Lottery","sec"
