"","conf","Yr","count","link"
"1","acc",1995,6,"https://www.sports-reference.com/cbb/conferences/acc/1995-stats.html"
"2","big-8",1995,5,"https://www.sports-reference.com/cbb/conferences/big-8/1995-stats.html"
"3","big-east",1995,2,"https://www.sports-reference.com/cbb/conferences/big-east/1995-stats.html"
"4","big-ten",1995,5,"https://www.sports-reference.com/cbb/conferences/big-ten/1995-stats.html"
"5","mac",1995,1,"https://www.sports-reference.com/cbb/conferences/mac/1995-stats.html"
"6","mvc",1995,1,"https://www.sports-reference.com/cbb/conferences/mvc/1995-stats.html"
"7","pac-10",1995,4,"https://www.sports-reference.com/cbb/conferences/pac-10/1995-stats.html"
"8","sec",1995,4,"https://www.sports-reference.com/cbb/conferences/sec/1995-stats.html"
"9","wac",1995,1,"https://www.sports-reference.com/cbb/conferences/wac/1995-stats.html"
"10","acc",1996,5,"https://www.sports-reference.com/cbb/conferences/acc/1996-stats.html"
"11","atlantic-10",1996,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/1996-stats.html"
"12","big-east",1996,6,"https://www.sports-reference.com/cbb/conferences/big-east/1996-stats.html"
"13","big-ten",1996,1,"https://www.sports-reference.com/cbb/conferences/big-ten/1996-stats.html"
"14","colonial",1996,1,"https://www.sports-reference.com/cbb/conferences/colonial/1996-stats.html"
"15","cusa",1996,1,"https://www.sports-reference.com/cbb/conferences/cusa/1996-stats.html"
"16","midwestern-collegiate",1996,1,"https://www.sports-reference.com/cbb/conferences/midwestern-collegiate/1996-stats.html"
"17","pac-10",1996,1,"https://www.sports-reference.com/cbb/conferences/pac-10/1996-stats.html"
"18","sec",1996,6,"https://www.sports-reference.com/cbb/conferences/sec/1996-stats.html"
"19","sun-belt",1996,1,"https://www.sports-reference.com/cbb/conferences/sun-belt/1996-stats.html"
"20","wcc",1996,1,"https://www.sports-reference.com/cbb/conferences/wcc/1996-stats.html"
"21","acc",1997,2,"https://www.sports-reference.com/cbb/conferences/acc/1997-stats.html"
"22","atlantic-10",1997,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/1997-stats.html"
"23","big-12",1997,4,"https://www.sports-reference.com/cbb/conferences/big-12/1997-stats.html"
"24","big-east",1997,5,"https://www.sports-reference.com/cbb/conferences/big-east/1997-stats.html"
"25","big-ten",1997,3,"https://www.sports-reference.com/cbb/conferences/big-ten/1997-stats.html"
"26","colonial",1997,1,"https://www.sports-reference.com/cbb/conferences/colonial/1997-stats.html"
"27","cusa",1997,1,"https://www.sports-reference.com/cbb/conferences/cusa/1997-stats.html"
"28","mac",1997,1,"https://www.sports-reference.com/cbb/conferences/mac/1997-stats.html"
"29","mvc",1997,1,"https://www.sports-reference.com/cbb/conferences/mvc/1997-stats.html"
"30","pac-10",1997,3,"https://www.sports-reference.com/cbb/conferences/pac-10/1997-stats.html"
"31","patriot",1997,1,"https://www.sports-reference.com/cbb/conferences/patriot/1997-stats.html"
"32","sec",1997,3,"https://www.sports-reference.com/cbb/conferences/sec/1997-stats.html"
"33","wac",1997,1,"https://www.sports-reference.com/cbb/conferences/wac/1997-stats.html"
"34","acc",1998,6,"https://www.sports-reference.com/cbb/conferences/acc/1998-stats.html"
"35","atlantic-10",1998,2,"https://www.sports-reference.com/cbb/conferences/atlantic-10/1998-stats.html"
"36","big-12",1998,3,"https://www.sports-reference.com/cbb/conferences/big-12/1998-stats.html"
"37","big-east",1998,2,"https://www.sports-reference.com/cbb/conferences/big-east/1998-stats.html"
"38","big-ten",1998,4,"https://www.sports-reference.com/cbb/conferences/big-ten/1998-stats.html"
"39","mac",1998,1,"https://www.sports-reference.com/cbb/conferences/mac/1998-stats.html"
"40","meac",1998,1,"https://www.sports-reference.com/cbb/conferences/meac/1998-stats.html"
"41","pac-10",1998,3,"https://www.sports-reference.com/cbb/conferences/pac-10/1998-stats.html"
"42","sec",1998,2,"https://www.sports-reference.com/cbb/conferences/sec/1998-stats.html"
"43","wac",1998,2,"https://www.sports-reference.com/cbb/conferences/wac/1998-stats.html"
"44","acc",1999,5,"https://www.sports-reference.com/cbb/conferences/acc/1999-stats.html"
"45","atlantic-10",1999,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/1999-stats.html"
"46","big-12",1999,1,"https://www.sports-reference.com/cbb/conferences/big-12/1999-stats.html"
"47","big-east",1999,4,"https://www.sports-reference.com/cbb/conferences/big-east/1999-stats.html"
"48","big-ten",1999,3,"https://www.sports-reference.com/cbb/conferences/big-ten/1999-stats.html"
"49","mac",1999,1,"https://www.sports-reference.com/cbb/conferences/mac/1999-stats.html"
"50","pac-10",1999,4,"https://www.sports-reference.com/cbb/conferences/pac-10/1999-stats.html"
"51","sec",1999,2,"https://www.sports-reference.com/cbb/conferences/sec/1999-stats.html"
