"","Player","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","PER","WS","BPM","Year"
"1","Cory Alexander","JR","G","Virginia","20","692","84","110","32","3","78","40","333","0.452","0.512","0.351","0.701","16.7","4.2","5.5","1.6","0.2","0","0","0",1995
"2","Travis Best","SR","G","Georgia Tech","30","1115","95","151","60","6","69","71","607","0.446","0.491","0.38","0.847","20.2","3.2","5","2","0.2","0","0","0",1995
"3","Greg Buckner","FR","G","Clemson","28","911","165","58","63","12","38","69","336","0.526","0.571","0.295","0.513","12","5.9","2.1","2.3","0.4","0","0","0",1995
"4","Mark Davis","SR","F","North Carolina State","26","406","86","33","17","0","16","59","165","0.426","0.531","0.338","0.679","6.3","3.3","1.3","0.7","0","0","0","0",1995
"5","Tim Duncan","SO","C","Wake Forest","32","1168","401","67","13","135","91","78","537","0.591","0.594","0.429","0.742","16.8","12.5","2.1","0.4","4.2","0","0","0",1995
"6","Todd Fuller","JR","C","North Carolina State","27","816","229","35","7","45","41","53","444","0.519","0.529","0","0.841","16.4","8.5","1.3","0.3","1.7","0","0","0",1995
"7","Matt Harpring","FR","F","Georgia Tech","29","966","180","68","39","7","62","66","351","0.484","0.525","0.384","0.736","12.1","6.2","2.3","1.3","0.2","0","0","0",1995
"8","Trajan Langdon","FR","G","Duke","31","797","65","48","13","4","38","69","351","0.453","0.478","0.428","0.786","11.3","2.1","1.5","0.4","0.1","0","0","0",1995
"9","Jeff McInnis","SO","G","North Carolina","34","981","138","180","44","0","72","74","420","0.491","0.544","0.393","0.667","12.4","4.1","5.3","1.3","0","0","0","0",1995
"10","Cherokee Parks","SR","F","Duke","31","1091","289","45","26","55","63","68","589","0.501","0.534","0.365","0.776","19","9.3","1.5","0.8","1.8","0","0","0",1995
"11","Joe Smith","SO","C","Maryland","34","1110","362","40","51","97","72","103","708","0.578","0.586","0.429","0.741","20.8","10.6","1.2","1.5","2.9","0","0","0",1995
"12","Jerry Stackhouse","SO","F","North Carolina","34","1170","280","93","50","59","111","74","652","0.517","0.546","0.411","0.712","19.2","8.2","2.7","1.5","1.7","0","0","0",1995
"13","Bob Sura","SR","G","Florida State","27","981","186","146","49","5","92","76","502","0.417","0.481","0.323","0.687","18.6","6.9","5.4","1.8","0.2","0","0","0",1995
"14","Rasheed Wallace","SO","F","North Carolina","34","1030","279","35","17","93","52","95","566","0.654","0.657","0.333","0.631","16.6","8.2","1","0.5","2.7","0","0","0",1995
"15","Shammond Williams","FR","G","North Carolina","29","132","12","20","7","0","22","9","48","0.387","0.545","0.3","0.857","1.7","0.4","0.7","0.2","0","0","0","0",1995
"16","George Hill","JR","C","Kansas State","26","0","55","4","4","0","0","0","32","0.316","0.316","0","0.4","1.2","2.1","0.2","0.2","0","0","0","0",1995
"17","Fred Hoiberg","SR","G","Iowa State","34","1252","192","75","39","5","63","44","677","0.438","0.459","0.412","0.861","19.9","5.6","2.2","1.1","0.1","0","0","0",1995
"18","Raef LaFrentz","FR","F","Kansas","31","732","231","17","9","20","56","71","353","0.534","0.536","0.4","0.637","11.4","7.5","0.5","0.3","0.6","0","0","0",1995
"19","Greg Ostertag","SR","C","Kansas","31","603","233","13","11","91","50","73","299","0.596","0.596","0","0.553","9.6","7.5","0.4","0.4","2.9","0","0","0",1995
"20","Scot Pollard","SO","C","Kansas","31","620","192","17","20","34","47","79","315","0.557","0.557","0","0.654","10.2","6.2","0.5","0.6","1.1","0","0","0",1995
"21","Bryant Reeves","SR","C","Oklahoma State","37","1288","350","30","18","60","109","118","797","0.586","0.592","0","0.706","21.5","9.5","0.8","0.5","1.6","0","0","0",1995
"22","Jacque Vaughn","SO","G","Kansas","31","1046","116","238","31","4","94","74","300","0.452","0.493","0.345","0.687","9.7","3.7","7.7","1","0.1","0","0","0",1995
"23","Ray Allen","SO","G","Connecticut","32","1051","218","75","61","16","64","53","675","0.489","0.515","0.445","0.727","21.1","6.8","2.3","1.9","0.5","0","0","0",1995
"24","Austin Croshere","SO","C","Providence","30","570","147","33","17","16","50","50","307","0.459","0.527","0.341","0.776","10.2","4.9","1.1","0.6","0.5","0","0","0",1995
"25","Othella Harrington","JR","C","Georgetown","31","767","187","25","27","44","80","87","379","0.559","0.562","0","0.706","12.2","6","0.8","0.9","1.4","0","0","0",1995
"26","Allen Iverson","FR","G","Georgetown","30","966","99","134","89","5","133","78","613","0.39","0.455","0.232","0.688","20.4","3.3","4.5","3","0.2","0","0","0",1995
"27","Kerry Kittles","JR","G","Villanova","33","1218","201","115","71","13","70","55","706","0.524","0.603","0.411","0.767","21.4","6.1","3.5","2.2","0.4","0","0","0",1995
"28","Travis Knight","JR","C","Connecticut","33","768","272","38","29","56","54","105","299","0.558","0.558","0","0.651","9.1","8.2","1.2","0.9","1.7","0","0","0",1995
"29","Don Reid","SR","F","Georgetown","31","731","178","26","31","60","44","113","223","0.595","0.595","0","0.516","7.2","5.7","0.8","1","1.9","0","0","0",1995
"30","John Wallace","JR","F","Syracuse","30","990","245","77","39","55","91","80","504","0.588","0.601","0.286","0.679","16.8","8.2","2.6","1.3","1.8","0","0","0",1995
"31","Jahidi White","FR","C","Georgetown","26","201","46","2","8","23","21","28","61","0.429","0.429","0","0.371","2.3","1.8","0.1","0.3","0.9","0","0","0",1995
