"","school","conf"
"1","Houston","aac"
"2","Tulsa","aac"
"3","Cincinnati","aac"
"4","Wichita State","aac"
"5","Memphis","aac"
"6","UConn","aac"
"7","SMU","aac"
"8","Central Florida","aac"
"9","South Florida","aac"
"10","Temple","aac"
"11","East Carolina","aac"
"12","Tulane","aac"
"13","Duke","acc"
"14","Florida State","acc"
"15","Louisville","acc"
"16","Virginia","acc"
"17","Georgia Tech","acc"
"18","NC State","acc"
"19","Notre Dame","acc"
"20","Syracuse","acc"
"21","Clemson","acc"
"22","Virginia Tech","acc"
"23","Miami (FL)","acc"
"24","Boston College","acc"
"25","Pitt","acc"
"26","UNC","acc"
"27","Wake Forest","acc"
"28","Davidson","atlantic-10"
"29","Dayton","atlantic-10"
"30","Duquesne","atlantic-10"
"31","Fordham","atlantic-10"
"32","George Mason","atlantic-10"
"33","George Washington","atlantic-10"
"34","La Salle","atlantic-10"
"35","UMass","atlantic-10"
"36","Rhode Island","atlantic-10"
"37","Richmond","atlantic-10"
"38","Saint Joseph's","atlantic-10"
"39","Saint Louis","atlantic-10"
"40","St. Bonaventure","atlantic-10"
"41","Virginia Commonwealth","atlantic-10"
"42","Kansas","big-12"
"43","Baylor","big-12"
"44","West Virginia","big-12"
"45","Oklahoma","big-12"
"46","Texas","big-12"
"47","Texas Tech","big-12"
"48","Oklahoma State","big-12"
"49","TCU","big-12"
"50","Iowa State","big-12"
"51","Kansas State","big-12"
"52","Creighton","big-east"
"53","Villanova","big-east"
"54","Seton Hall","big-east"
"55","Butler","big-east"
"56","Xavier","big-east"
"57","DePaul","big-east"
"58","Georgetown","big-east"
"59","Marquette","big-east"
"60","St. John's","big-east"
"61","Providence","big-east"
"62","Weber State","big-sky"
"63","Eastern Washington","big-sky"
"64","Maryland","big-ten"
"65","Michigan State","big-ten"
"66","Wisconsin","big-ten"
"67","Illinois","big-ten"
"68","Ohio State","big-ten"
"69","Penn State","big-ten"
"70","Iowa","big-ten"
"71","Rutgers","big-ten"
"72","Michigan","big-ten"
"73","Indiana","big-ten"
"74","Purdue","big-ten"
"75","Minnesota","big-ten"
"76","Northwestern","big-ten"
"77","Nebraska","big-ten"
"78","Cal State Long Beach","big-west"
"79","Drexel","colonial"
"80","College of Charleston","colonial"
"81","Hofstra","colonial"
"82","Marshall","cusa"
"83","Western Kentucky","cusa"
"84","UNC Charlotte","cusa"
"85","Louisiana Tech","cusa"
"86","Cleveland State University","horizon"
"87","IUPUI","horizon"
"88","Wright State University","horizon"
"89","Detroit Mercy","horizon"
"90","Rider University","maac"
"91","Bowling Green","mac"
"92","Ohio University","mac"
"93","Ball State University","mac"
"94","Miami University","mac"
"95","Central Michigan University","mac"
"96","Norfolk State","meac"
"97","Florida A&M","meac"
"98","Southern Illinois","mvc"
"99","Bradley","mvc"
"100","San Diego State","mwc"
"101","Utah State","mwc"
"102","Nevada","mwc"
"103","UNLV","mwc"
"104","Boise State","mwc"
"105","Colorado State","mwc"
"106","New Mexico","mwc"
"107","Fresno State","mwc"
"108","Air Force","mwc"
"109","San Jose State","mwc"
"110","Wyoming","mwc"
"111","Murray State","ovc"
"112","Morehead State University","ovc"
"113","Austin Peay State University","ovc"
"114","Oregon","pac-12"
"115","UCLA","pac-12"
"116","USC","pac-12"
"117","Arizona State","pac-12"
"118","Arizona","pac-12"
"119","Colorado","pac-12"
"120","Stanford","pac-12"
"121","Oregon State","pac-12"
"122","Utah","pac-12"
"123","California","pac-12"
"124","Washington State","pac-12"
"125","Washington","pac-12"
"126","Lehigh","patriot"
"127","Bucknell","patriot"
"128","Colgate","patriot"
"129","Kentucky","sec"
"130","Auburn","sec"
"131","LSU","sec"
"132","Mississippi State","sec"
"133","Florida","sec"
"134","South Carolina","sec"
"135","Texas A&M","sec"
"136","Tennessee","sec"
"137","Alabama","sec"
"138","Arkansas","sec"
"139","Missouri","sec"
"140","Mississippi","sec"
"141","Georgia","sec"
"142","Vanderbilt","sec"
"143","Western Carolina University","southern"
"144","LA-Lafayette","sun-belt"
"145","Little Rock","sun-belt"
"146","Texas State University","sun-belt"
"147","New Mexico State","wac"
"148","BYU","wcc"
"149","Gonzaga","wcc"
"150","Loyola Marymount","wcc"
"151","Pacific","wcc"
"152","Pepperdine","wcc"
"153","Portland","wcc"
"154","Saint Mary's","wcc"
"155","San Diego","wcc"
"156","San Francisco","wcc"
"157","Santa Clara","wcc"
