"","Player","BREF"
"1","Brian Cardinal","https://www.basketball-reference.com/players/c/cardibr01.html"
"2","Chris Mihm","https://www.basketball-reference.com/players/m/mihmch01.html"
"3","Courtney Alexander","https://www.basketball-reference.com/players/a/alexaco02.html"
"4","Darius Miles","https://www.basketball-reference.com/players/m/milesda01.html"
"5","DerMarr Johnson","https://www.basketball-reference.com/players/j/johnsde03.html"
"6","DeShawn Stevenson","https://www.basketball-reference.com/players/s/stevede01.html"
"7","Desmond Mason","https://www.basketball-reference.com/players/m/masonde01.html"
"8","Donnell Harvey","https://www.basketball-reference.com/players/h/harvedo01.html"
"9","Eddie House","https://www.basketball-reference.com/players/h/houseed01.html"
"10","Eduardo Najera","https://www.basketball-reference.com/players/n/najered01.html"
"11","Etan Thomas","https://www.basketball-reference.com/players/t/thomaet01.html"
"12","Jake Tsakalidis","https://www.basketball-reference.com/players/t/tsakaja01.html"
"13","Jake Voskuhl","https://www.basketball-reference.com/players/v/voskuja01.html"
"14","Jamaal Magloire","https://www.basketball-reference.com/players/m/magloja01.html"
"15","Jamal Crawford","https://www.basketball-reference.com/players/c/crawfja01.html"
"16","Jason Hart","https://www.basketball-reference.com/players/h/hartja01.html"
"17","Joel Przybilla","https://www.basketball-reference.com/players/p/przybjo01.html"
"18","Kenyon Martin","https://www.basketball-reference.com/players/m/martike01.html"
"19","Keyon Dooling","https://www.basketball-reference.com/players/d/doolike01.html"
"20","Marcus Fizer","https://www.basketball-reference.com/players/f/fizerma01.html"
"21","Mark Madsen","https://www.basketball-reference.com/players/m/madsema01.html"
"22","Michael Redd","https://www.basketball-reference.com/players/r/reddmi01.html"
"23","Mike Miller","https://www.basketball-reference.com/players/m/millemi01.html"
"24","Morris Peterson","https://www.basketball-reference.com/players/p/petermo01.html"
"25","Primoz Brezec","https://www.basketball-reference.com/players/b/brezepr01.html"
"26","Quentin Richardson","https://www.basketball-reference.com/players/r/richaqu01.html"
"27","Speedy Claxton","https://www.basketball-reference.com/players/c/claxtsp01.html"
"28","Stromile Swift","https://www.basketball-reference.com/players/s/swiftst01.html"
"29","Hedo Turkoglu","https://www.basketball-reference.com/players/t/turkohe01.html"
"30","Marko Jaric","https://www.basketball-reference.com/players/j/jaricma01.html"
