"","pk","Player","Yr","Yrs","allstar","allstar.pred","PC1","PC2"
"1",1,"Joel Embiid",2014,4,3,3.23708813878234,7.28443933023948,2.53897589785321
"2",2,"Nikola Jokic",2014,5,2,2.58600528478709,6.46240271670232,2.52043764064223
"3",3,"Andrew Wiggins",2014,6,0,0.581476770730815,3.18731856950001,-1.79326613319519
"4",4,"Julius Randle",2014,6,0,0.562854526406969,3.13979094970935,2.46060076493433
"5",5,"Zach LaVine",2014,6,0,0.330056527088342,2.44918457675627,-3.08813994096544
"6",6,"Clint Capela",2014,6,0,0.224073795437799,2.03982852057236,9.51621635315615
"7",7,"Aaron Gordon",2014,6,0,0.0426094043007466,0.974566256612507,0.511457639996169
"8",8,"Elfrid Payton",2014,6,0,0.0391962766644318,0.944831784470651,-0.626842459724999
"9",9,"T.J. Warren",2014,6,0,0.0383098137963048,0.936995347479986,0.454038968869383
"10",10,"Jusuf Nurkic",2014,5,0,0.0309334064020483,0.869821366552296,4.76111109208528
"11",11,"Jabari Parker",2014,6,0,0.0220368583904134,0.783613990597929,0.552121484515848
"12",12,"Spencer Dinwiddie",2014,6,0,-0.0166686025740875,0.305456963695724,-2.79545675406233
"13",13,"Jordan Clarkson",2014,6,0,-0.0370445451159913,-0.091344963895526,-2.35947143976619
"14",14,"Gary Harris",2014,6,0,-0.0462158862142402,-0.369412364400164,-2.09978966042891
"15",15,"Marcus Smart",2014,6,0,-0.0491449796777126,-0.492464247134018,-3.05675647543445
"16",16,"Dario Saric",2014,4,0,-0.0520176226441978,-0.650805949908517,-1.00043416086899
"17",17,"Rodney Hood",2014,6,0,-0.0542753535142458,-0.840981195081874,-3.02018897610569
"18",18,"Bogdan Bogdanovic",2014,3,0,-0.0555705778599014,-1.19277724680805,-2.91108478833681
"19",19,"Dwight Powell",2014,6,0,-0.0530333049320865,-1.64907261519598,3.69714935829518
"20",20,"Jerami Grant",2014,6,0,-0.049748135022404,-1.93766732530522,1.27464247637333
"21",21,"Joe Harris",2014,6,0,-0.0495227056769775,-1.95486624041194,-1.17325497526789
"22",22,"Shabazz Napier",2014,6,0,-0.0313795364024607,-3.08685390951887,-2.97544529590678
"23",23,"Kyle Anderson",2014,6,0,-0.0301296309386495,-3.1613576305103,1.20191379533461
"24",24,"Doug McDermott",2014,6,0,-0.0147814999784532,-4.14649513765058,-1.12885530789128
"25",25,"Glenn Robinson III",2014,6,0,-0.0147056482232459,-4.15185265719598,-0.923941822963669
"26",26,"Noah Vonleh",2014,6,0,-0.0108257911327775,-4.43400583369184,1.73807636635475
"27",27,"Nik Stauskas",2014,5,0,-0.00168808844228441,-5.17074385130722,-3.13758500052432
"28",28,"Dante Exum",2014,5,0,0.00644616166177703,-5.91150194155913,-1.92474871241009
"29",29,"K.J. McDaniels",2014,3,0,0.00913784858310041,-6.17045218722386,-1.08851036635989
"30",30,"Tyler Ennis",2014,4,0,0.019114957521259,-7.16527972212039,-1.90877467053238
"31",1,"Giannis Antetokounmpo",2013,7,4,5.2933380878264,9.98988631240993,3.36040440390633
"32",2,"Rudy Gobert",2013,7,1,1.55795861803469,5.04138397215353,10.2494171928967
"33",3,"CJ McCollum",2013,7,0,0.992405419441663,4.08041536774929,-2.9019629142541
"34",4,"Victor Oladipo",2013,7,2,0.78186188683751,3.6539426811647,-2.3446218924379
"35",5,"Steven Adams",2013,7,0,0.182673613750047,1.85141459739568,7.42383517959919
"36",6,"Dennis Schroder",2013,7,0,0.1374243374541,1.61836106377998,-3.12077132138869
"37",7,"Michael Carter-Williams",2013,7,0,0.0991736442497155,1.3911445280726,-1.65811131741936
"38",8,"Otto Porter",2013,7,0,0.0510024023424351,1.04490647314025,-0.17624781701828
"39",9,"Mason Plumlee",2013,7,0,-0.00278649412727994,0.502466242473853,5.81107556535607
"40",10,"Tim Hardaway Jr.",2013,7,0,-0.00353257516413841,0.492793421297454,-3.49893757411855
"41",11,"Kentavious Caldwell-Pope",2013,7,0,-0.032947569449095,0.00496379296863625,-2.48527602943476
"42",12,"Nerlens Noel",2013,6,0,-0.0415319557042039,-0.213349018070961,4.32626823211424
"43",13,"Kelly Olynyk",2013,7,0,-0.0492351404635153,-0.496727374705453,0.877118883550266
